Region,Country,2019,2018
Europe,Spain,83.7,82.8
Americas,United States,79.3,79.7
Europe,France,70,89.4
Asia and the Pacific,China,65.7,62.9
Europe,Italy,64.5,61.6
Europe,Turkey,51.2,45.8
Americas,Mexico,45,41.3
Asia and the Pacific,Thailand,39.8,38.2
Europe,Germany,39.6,38.9
Europe,United Kingdom,39.4,38.7
Asia and the Pacific,Japan,32.2,31.2
Europe,Austria,31.9,30.8
Europe,Greece,31.3,30.1
Asia and the Pacific,Malaysia,26.1,25.8
Europe,Portugal,24.6,22.8
Europe,Russia,24.4,24.6
Asia and the Pacific,Hong Kong,23.8,29.3
Americas,Canada,22.1,21.1
Asia and the Pacific,Macau,18.6,18.5
Asia and the Pacific,Vietnam,18,15.5
Asia and the Pacific,India,17.9,17.4
Asia and the Pacific,South Korea,17.5,15.3
Middle East,Saudi Arabia,17.5,15.5
Middle East,United Arab Emirates,16.7,15.9
Asia and the Pacific,Indonesia,15.5,13.4
Africa,Egypt,13,11.3
Middle East,Egypt,13,11.3
Africa,Morocco,12.9,12.3
Africa,South Africa,10.2,10.5
Africa,Tunisia,9.4,8.3
Middle East,Iran,9.1,7.3
Americas,Argentina,7.4,6.9
Americas,Dominican Republic,6.4,6.6
Americas,Brazil,6.4,6.6
Middle East,Israel,4.6,4.1
Americas,Chile,4.5,5.7
Middle East,Jordan,4.5,4.2
Americas,Peru,4.4,4.4
Americas,Cuba,4.3,4.7
Americas,Colombia,4.2,4
Middle East,Bahrain,3.8,4.4
Middle East,Oman,2.5,2.3
Africa,Algeria,2.4,2.7
Africa,Zimbabwe,2.3,2.6
Middle East,Qatar,2.1,1.8
Africa,Mozambique,2,2.7
Middle East,Lebanon,1.9,2
Africa,Ivory Coast,0,2
Africa,Kenya,0,1.9
Africa,Botswana,0,1.7
